13,219622,"286517703,8"
11,207499,"193962786,8"
28,206302,"189263680,58"
4,205863,"299543953,38"
27,204184,"253855916,88"
19,203819,"206634862,1"
24,203819,"194016021,28"
31,203750,"199613905,5"
20,203742,"301397792,46"
32,203007,"166819246,16"
6,202505,"223756130,64"
2,202307,"275382440,98"
14,200898,"288999911,34"
41,196321,"181341934,89"
39,184109,"207445542,47"
34,158114,138249763
40,155083,"137870309,79"
8,155078,"129951181,13"
26,152513,"143416393,79"
1,151315,"222402808,85"
21,140167,"108117878,92"
25,128107,"101061179,17"
10,126512,"271617713,89"
9,125833,"77789218,99"
15,123737,"89133683,92"
18,120653,"155114734,21"
22,119557,"147075648,57"
45,118221,"112395341,42"
23,114533,"198750617,85"
12,112238,"144287230,15"
35,103681,"131520672,08"
29,93638,"77141554,31"
17,93188,"127782138,83"
7,70713,"81598275,14"
16,57197,"74252425,4"
30,42988,"62716885,12"
43,41062,"90565435,41"
36,39910,"53412214,97"
37,39910,"74202740,32"
44,39910,"43293087,84"
33,39690,"37160221,96"
38,39690,"55159626,42"
42,39690,"79565752,43"
3,37392,"57586735,07"
5,34875,"45475688,9"
